TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
1;77404852000179;36245;************8082;1001;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 04:02:34.000;2018-03-01 01:02:38.000
2;30481457000126;39206;************9077;3785;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 04:00:52.000;2018-03-01 01:00:54.000
3;28176030000172;34242;************5015;936;1;Redecard;Voucher;Sodexo Refeicao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:59:14.000;2018-03-01 00:59:16.000
4;00250435000194;42490;************3114;2990;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:59:02.000;2018-03-01 01:03:19.000
5;08555150000173;39940;************7917;1900;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:57:01.000;2018-03-01 00:55:48.000
6;28176030000172;34244;************6054;1725;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:57:21.000;2018-03-01 00:57:23.000
7;00685267000160;42524;************8010;2000;1;Getnet;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:55:53.000;2018-03-01 00:56:36.000
8;21442989000163;43891;************9107;7150;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:54:52.000;2018-03-01 00:55:36.000
9;21442989000163;43891;************5012;11600;1;Cielo;Voucher;Alelo Refeicao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:52:09.000;2018-03-01 00:52:53.000
10;57971160000871;44331;************1139;1490;1;Redecard;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:52:03.000;2018-03-01 00:52:47.000
11;04404938000128;38837;************8233;3000;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:52:40.000;2018-03-01 00:52:38.000
12;12698826000155;42517;************2834;3851;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:51:28.000;2018-03-01 00:46:09.000
13;54044573000146;28865;************8432;8900;1;Cielo;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:51:05.000;2018-03-01 00:51:07.000
14;09429293000100;38687;************7960;4000;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:51:32.000;2018-03-01 00:51:31.000
15;12698826000155;42517;************1325;3852;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:50:35.000;2018-03-01 00:51:18.000
16;10282710000105;21194;************3301;12801;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:49:57.000;2018-03-01 00:49:59.000
17;21442989000163;43891;************7102;7535;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:49:24.000;2018-03-01 00:50:02.000
18;22895641000194;32724;************2537;24500;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:49:59.000;2018-03-01 00:50:53.000
19;04404938000128;38837;************5203;3000;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:50:05.000;2018-03-01 00:50:04.000
20;15559082000186;7826;************597;24000;1;Getnet;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:49:25.000;2018-03-01 00:48:03.000
21;54044573000146;28865;************3329;8900;1;Cielo;Crédito à Vista;Mastercard;Recusada;Saldo Insuficiente - O saldo do cliente ou limite de crédito não é suficiente para efetuar o pagamento solicitado.;2018-03-01 03:47:32.000;2018-03-01 00:47:34.000
22;15593743000351;31700;************9014;4100;1;Cielo;Voucher;Alelo Alimentacao;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:46:52.000;2018-03-01 00:46:54.000
23;13941066000128;47859;************1224;3740;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:46:19.000;2018-03-01 00:47:00.000
24;21442989000163;43891;************7108;11175;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:45:28.000;2018-03-01 00:46:12.000
25;07638113000166;45169;************1607;186000;3;Cielo;Crédito Parcelado Loja;Elo Credito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:45:46.000;2018-03-01 00:46:29.000
26;22895641000194;32724;************1884;4750;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:45:30.000;2018-03-01 00:46:25.000
27;15593743000351;31700;************9014;4100;1;Cielo;Voucher;Alelo Alimentacao;Recusada;Senha Inválida - A senha digitada pelo cliente não confere.;2018-03-01 03:45:34.000;2018-03-01 00:45:35.000
28;04404938000128;38837;************6925;5000;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:44:55.000;2018-03-01 00:44:54.000
29;30481457000126;39206;************5136;4603;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:45:08.000;2018-03-01 00:45:10.000
30;22895641000194;32724;************3837;4000;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:43:56.000;2018-03-01 00:44:50.000
31;22895641000194;32724;************5358;5550;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:43:03.000;2018-03-01 00:43:58.000
32;24110320000162;31218;************4561;2188;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:43:04.000;2018-03-01 00:43:06.000
33;24110320000162;31218;************9927;600;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:41:35.000;2018-03-01 00:41:36.000
34;21920466000185;22462;************6309;3800;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:37:42.000;2018-03-01 00:38:26.000
35;21442989000163;43891;************8615;6896;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:37:26.000;2018-03-01 00:38:04.000
36;21442989000163;43891;************2130;6896;1;Stone;Débito à Vista;Electron;Recusada;Saldo Insuficiente - O saldo do cliente ou limite de crédito não é suficiente para efetuar o pagamento solicitado.;2018-03-01 03:37:06.000;2018-03-01 00:37:44.000
37;03473293000112;44407;************9282;9080;1;Stone;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:37:55.000;2018-03-01 00:38:41.000
38;11158594000180;26106;************2632;1199;1;Redecard;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:36:52.000;2018-03-01 00:36:54.000
39;37539285000143;13439;************8497;20660;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:36:36.000;2018-03-01 00:37:22.000
40;15593743000351;31700;************3743;600;1;Getnet;Débito à Vista;Maestro;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:36:51.000;2018-02-28 23:36:49.000
41;21442989000163;43891;************2130;11896;1;Stone;Débito à Vista;Electron;Recusada;Saldo Insuficiente - O saldo do cliente ou limite de crédito não é suficiente para efetuar o pagamento solicitado.;2018-03-01 03:36:10.000;2018-03-01 00:36:48.000
42;53154225007686;44503;************3024;1490;1;Cielo;Voucher;Alelo;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:36:02.000;2018-03-01 00:36:04.000
43;21442989000163;43891;************9113;5946;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:35:36.000;2018-03-01 00:36:14.000
44;24110320000162;31218;************9927;849;1;Stone;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:36:05.000;2018-03-01 00:36:07.000
45;15559082000186;32500;************597;400;1;Getnet;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:36:44.000;2018-03-01 00:35:22.000
46;07638113000166;45169;************187;18347;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:34:57.000;2018-03-01 00:35:44.000
47;07485962000127;40812;************9133;2600;1;Stone;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:34:12.000;2018-03-01 00:34:56.000
48;21442989000163;43891;************2130;11896;1;Stone;Débito à Vista;Electron;Recusada;Saldo Insuficiente - O saldo do cliente ou limite de crédito não é suficiente para efetuar o pagamento solicitado.;2018-03-01 03:33:01.000;2018-03-01 00:33:39.000
49;15593743000513;35429;************3103;600;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:32:50.000;2018-02-28 23:34:36.000
50;21442989000163;43891;************3206;5948;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:31:54.000;2018-03-01 00:32:38.000
51;17872744000107;47128;************3220;770;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:30:54.000;2018-03-01 00:31:18.000
52;02012862002537;38012;************1753;8000;1;Redecard;Débito à Vista;Maestro;Recusada;Senha Inválida - A senha digitada pelo cliente não confere.;2018-03-01 03:31:07.000;2018-03-01 00:31:08.000
53;13941066000128;47859;************9205;13750;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:30:37.000;2018-03-01 00:31:21.000
54;11158594000180;26106;************8297;1600;1;Redecard;Crédito à Vista;Hipercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 03:30:17.000;2018-03-01 00:30:19.000
